지점,지점명,일시,기온(°C),강수량(mm),풍속(m/s),풍향(16방위),습도(%),시정(10m)
102,백령도,2017-01-01 01:00,4.2,,2.4,250,51,1522
102,백령도,2017-01-01 02:00,4.2,,2.8,250,50,1364
102,백령도,2017-01-01 03:00,4.5,,2.7,250,65,779
102,백령도,2017-01-01 04:00,4.6,,2,250,68,769
102,백령도,2017-01-01 05:00,4.5,,1.6,250,62,917
102,백령도,2017-01-01 06:00,3.5,,2.7,110,80,763
102,백령도,2017-01-01 07:00,3.5,,2,110,83,662
102,백령도,2017-01-01 08:00,4.3,,.9,160,77,734
102,백령도,2017-01-01 09:00,4.7,,1.6,180,68,745
102,백령도,2017-01-01 10:00,5.2,,1.7,180,72,730
102,백령도,2017-01-01 11:00,6.3,,4,230,66,630
102,백령도,2017-01-01 12:00,7,,4.7,200,75,571
102,백령도,2017-01-01 13:00,6.8,,3.9,230,79,526
102,백령도,2017-01-01 14:00,7.2,,2.6,230,81,598
102,백령도,2017-01-01 15:00,7.2,,2.1,200,78,746
102,백령도,2017-01-01 16:00,6.7,,2.8,160,85,533
102,백령도,2017-01-01 17:00,5.7,,1.8,140,91,386
102,백령도,2017-01-01 18:00,5,,3.5,110,92,210
102,백령도,2017-01-01 19:00,5.1,,3.6,110,93,114
102,백령도,2017-01-01 20:00,5,,3.1,110,94,83
102,백령도,2017-01-01 21:00,5.6,,3.2,140,94,62
102,백령도,2017-01-01 22:00,6.2,,2.9,180,94,419
102,백령도,2017-01-01 23:00,6.8,,2.9,200,94,786
102,백령도,2017-01-02 00:00,7.4,,4.8,230,94,314
102,백령도,2017-01-02 01:00,7.1,,4.2,270,94,485
102,백령도,2017-01-02 02:00,6.8,,6.2,270,93,662
102,백령도,2017-01-02 03:00,6.5,,6,270,88,709
102,백령도,2017-01-02 04:00,6.3,,4.9,290,88,323
102,백령도,2017-01-02 05:00,6.1,,4.9,290,91,217
102,백령도,2017-01-02 06:00,6.2,,4.7,290,91,230
102,백령도,2017-01-02 07:00,6.1,,4.6,290,88,225
102,백령도,2017-01-02 08:00,6.2,,5.1,290,83,284
102,백령도,2017-01-02 09:00,6.5,,4.7,290,77,342
102,백령도,2017-01-02 10:00,6.9,,5.6,290,71,356
102,백령도,2017-01-02 11:00,6.9,,4.5,290,83,256
102,백령도,2017-01-02 12:00,6.4,,6.4,290,79,256
102,백령도,2017-01-02 13:00,5.2,,7.1,290,79,261
102,백령도,2017-01-02 14:00,5.7,,4,290,72,340
102,백령도,2017-01-02 15:00,5.1,,3.4,290,73,336
102,백령도,2017-01-02 16:00,4.2,,2.6,320,76,308
102,백령도,2017-01-02 17:00,3.9,,2.4,320,77,326
102,백령도,2017-01-02 18:00,3.6,,2.9,290,80,292
102,백령도,2017-01-02 19:00,3.8,,3.3,320,74,424
102,백령도,2017-01-02 20:00,3.7,,3.3,320,66,737
102,백령도,2017-01-02 21:00,3.4,,4.2,290,67,718
102,백령도,2017-01-02 22:00,3.7,,5.8,290,66,593
102,백령도,2017-01-02 23:00,3.7,,5.6,290,53,2000
102,백령도,2017-01-03 00:00,3.8,,6.7,290,53,1989
102,백령도,2017-01-03 01:00,3.6,,5.5,290,57,2000
102,백령도,2017-01-03 02:00,3.3,,4.4,290,55,2000
102,백령도,2017-01-03 03:00,3.2,,4.2,290,53,2000
102,백령도,2017-01-03 04:00,2.7,,3,290,61,1997
102,백령도,2017-01-03 05:00,2.5,,2.2,320,56,2000
102,백령도,2017-01-03 06:00,2.6,,2.6,320,51,2000
102,백령도,2017-01-03 07:00,2.7,,1.6,340,50,2000
102,백령도,2017-01-03 08:00,2.7,,1.3,340,51,2000
102,백령도,2017-01-03 09:00,3.1,,1.5,290,51,2000
102,백령도,2017-01-03 10:00,3.9,,1.4,250,50,2000
102,백령도,2017-01-03 11:00,4.5,,3.8,250,48,2000
102,백령도,2017-01-03 12:00,5.2,,4.8,270,49,2000
102,백령도,2017-01-03 13:00,5.7,,5.6,270,51,2000
102,백령도,2017-01-03 14:00,7,,4.2,230,50,2000
102,백령도,2017-01-03 15:00,7.1,,4.6,230,53,2000
102,백령도,2017-01-03 16:00,6.8,,5.3,230,67,935
102,백령도,2017-01-03 17:00,6.2,,4.7,230,68,814
102,백령도,2017-01-03 18:00,5.8,,5.7,230,75,662
102,백령도,2017-01-03 19:00,6,,5.7,230,72,704
102,백령도,2017-01-03 20:00,6.4,,6,250,74,665
102,백령도,2017-01-03 21:00,6.8,,7,270,72,797
102,백령도,2017-01-03 22:00,6.5,,7.5,270,84,481
102,백령도,2017-01-03 23:00,6.5,,6,290,86,421
102,백령도,2017-01-04 00:00,6.3,,4.6,290,89,350
102,백령도,2017-01-04 01:00,6.4,,3.8,290,89,372
102,백령도,2017-01-04 02:00,6,,1.8,290,81,424
102,백령도,2017-01-04 03:00,5.9,,1.2,320,80,449
102,백령도,2017-01-04 04:00,5.3,,1.2,340,81,325
102,백령도,2017-01-04 05:00,4.3,,1.7,20,90,288
102,백령도,2017-01-04 06:00,3.5,,1.6,50,86,739
102,백령도,2017-01-04 07:00,3.4,,1.9,50,75,904
102,백령도,2017-01-04 08:00,3.1,,4.3,70,73,957
102,백령도,2017-01-04 09:00,3.3,,3.4,50,72,908
102,백령도,2017-01-04 10:00,4.4,,2.6,50,58,1129
102,백령도,2017-01-04 11:00,5,,4.6,70,54,1157
102,백령도,2017-01-04 12:00,6.1,,2.6,70,46,1286
102,백령도,2017-01-04 13:00,6.3,,2.3,70,38,1848
102,백령도,2017-01-04 14:00,6.4,,1.6,70,27,1964
102,백령도,2017-01-04 15:00,5.7,,1.9,20,35,2000
102,백령도,2017-01-04 16:00,5.5,,1.9,50,31,1993
102,백령도,2017-01-04 17:00,4.7,,1.8,20,37,2000
102,백령도,2017-01-04 18:00,4.1,,1.8,360,42,2000
102,백령도,2017-01-04 19:00,3.9,,1.9,20,42,2000
102,백령도,2017-01-04 20:00,3.8,,1.3,360,48,2000
102,백령도,2017-01-04 21:00,4,,1.7,20,58,2000
102,백령도,2017-01-04 22:00,4.2,,1.7,340,48,2000
102,백령도,2017-01-04 23:00,4.1,,1.8,360,53,2000
102,백령도,2017-01-05 00:00,3.5,,2.1,50,50,2000
102,백령도,2017-01-05 01:00,3.3,,2.5,50,49,2000
102,백령도,2017-01-05 02:00,3.1,,4.3,70,49,2000
102,백령도,2017-01-05 03:00,3.1,,4.2,70,40,2000
102,백령도,2017-01-05 04:00,2.8,,2,20,46,2000
102,백령도,2017-01-05 05:00,2.7,,2,50,45,2000
102,백령도,2017-01-05 06:00,2.7,,2.5,50,40,2000
