year,n_days,availability_선박,availability_헬기,availability_드론
2016,365,0.9753424657534246,0.9671232876712329,0.9671232876712329
2017,364,0.989010989010989,0.989010989010989,0.9917582417582418
2018,364,0.9862637362637363,0.9835164835164835,0.9697802197802198
2019,364,0.9972527472527473,0.9945054945054945,0.9835164835164835
2020,365,0.9917808219178083,0.9917808219178083,0.9698630136986301
2021,364,1.0,0.9945054945054945,0.9615384615384616
2022,364,1.0,0.9945054945054945,0.967032967032967
2023,364,1.0,1.0,0.9642857142857143
2024,365,1.0,1.0,0.9808219178082191
2025,364,0.9945054945054945,0.9917582417582418,0.9752747252747253
