month,availability_선박,availability_헬기,availability_드론
1,1.0,1.0,0.9483870967741935
2,0.9929328621908127,0.9929328621908127,0.9434628975265018
3,0.9935483870967742,0.9903225806451613,0.9741935483870968
4,0.9866666666666667,0.9833333333333333,0.99
5,0.9838709677419355,0.9806451612903225,0.9741935483870968
6,0.9933333333333333,0.9833333333333333,1.0
7,0.9741935483870968,0.9612903225806452,0.9838709677419355
8,0.9967741935483871,0.9967741935483871,0.9967741935483871
9,1.0,1.0,0.9933333333333333
10,1.0,1.0,0.9741935483870968
11,1.0,1.0,0.9633333333333334
12,1.0,1.0,0.9333333333333333
